hpclab_pi_algA    	0.1000	2	udelRun2A         	0.2261	36	-0.1261
MPII_HYBRID_PW    	0.0944	56	udelRun1A         	0.2561	56	-0.1617
MPII_HYBRID_PW    	0.0944	56	umd_hcil_run01    	0.1000	0	-0.0056
MPII_HYBRID_PW    	0.0944	56	prnaTaskA3        	0.2100	5	-0.1156
MPII_HYBRID_PW    	0.0944	56	prnaTaskA2        	0.2343	8	-0.1399
MPII_HYBRID_PW    	0.0944	56	prnaTaskA1        	0.2543	15	-0.1599
MPII_HYBRID_PW    	0.0944	56	SNACSA            	0.1700	100	-0.0756
MPII_HYBRID_PW    	0.0944	56	PKUICSTRunA3      	0.1654	62	-0.0710
MPII_HYBRID_PW    	0.0944	56	PKUICSTRunA2      	0.1444	40	-0.0500
MPII_HYBRID_PW    	0.0944	56	PKUICSTRunA1      	0.1536	57	-0.0592
MPII_HYBRID_PW    	0.0944	56	SNACS_LA          	0.1050	61	-0.0106
MPII_HYBRID_PW    	0.0944	56	UWaterlooATDK     	0.1000	14	-0.0056
MPII_HYBRID_PW    	0.0944	56	QUDynExp          	0.0518	57	0.0426
MPII_HYBRID_PW    	0.0944	56	QUDyn             	0.1375	54	-0.0431
MPII_HYBRID_PW    	0.0944	56	UWCMBP1           	0.0725	26	0.0219
MPII_HYBRID_PW    	0.0944	56	UWCMBP2           	0.1886	63	-0.0942
MPII_HYBRID_PW    	0.0944	56	QUBaseline        	0.1000	4	-0.0056
MPII_HYBRID_PW    	0.0944	56	umd_hcil_run02    	0.1000	0	-0.0056
MPII_HYBRID_PW    	0.0944	56	MPII_LUC_SORT     	0.1856	90	-0.0912
MPII_HYBRID_PW    	0.0944	56	udelRun3A         	0.0875	27	0.0069
umd_hcil_run01    	0.1000	0	umd_hcil_run02    	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	hpclab_pi_algA    	0.1000	2	0.0000
ECNURUNA1         	0.1000	0	UWaterlooATEK     	0.0452	28	0.0548
ECNURUNA1         	0.1000	0	UWaterlooATNDEK   	0.0452	32	0.0548
ECNURUNA1         	0.1000	0	udelRun2A         	0.2261	36	-0.1261
ECNURUNA1         	0.1000	0	udelRun1A         	0.2561	56	-0.1561
ECNURUNA1         	0.1000	0	MPII_HYBRID_PW    	0.0944	56	0.0056
ECNURUNA1         	0.1000	0	umd_hcil_run01    	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	ECNURUNA2         	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	ECNURUNA3         	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	prnaTaskA3        	0.2100	5	-0.1100
ECNURUNA1         	0.1000	0	prnaTaskA2        	0.2343	8	-0.1343
ECNURUNA1         	0.1000	0	prnaTaskA1        	0.2543	15	-0.1543
ECNURUNA1         	0.1000	0	SNACSA            	0.1700	100	-0.0700
ECNURUNA1         	0.1000	0	PKUICSTRunA3      	0.1654	62	-0.0654
ECNURUNA1         	0.1000	0	PKUICSTRunA2      	0.1444	40	-0.0444
ECNURUNA1         	0.1000	0	PKUICSTRunA1      	0.1536	57	-0.0536
ECNURUNA1         	0.1000	0	MPII_COMB_SORT    	0.1580	97	-0.0580
ECNURUNA1         	0.1000	0	SNACS_LA          	0.1050	61	-0.0050
ECNURUNA1         	0.1000	0	UWaterlooATDK     	0.1000	14	0.0000
ECNURUNA1         	0.1000	0	QUDynExp          	0.0518	57	0.0482
ECNURUNA1         	0.1000	0	IRIT-KLTFIDF      	0.2200	26	-0.1200
ECNURUNA1         	0.1000	0	IritSigSDA        	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	IRIT-RTNotif.33   	0.1021	49	-0.0021
ECNURUNA1         	0.1000	0	QUDyn             	0.1375	54	-0.0375
ECNURUNA1         	0.1000	0	UWCMBP1           	0.0725	26	0.0275
ECNURUNA1         	0.1000	0	UWCMBP2           	0.1886	63	-0.0886
ECNURUNA1         	0.1000	0	QUBaseline        	0.1000	4	0.0000
ECNURUNA1         	0.1000	0	umd_hcil_run02    	0.1000	0	0.0000
ECNURUNA1         	0.1000	0	MPII_LUC_SORT     	0.1856	90	-0.0856
ECNURUNA1         	0.1000	0	udelRun3A         	0.0875	27	0.0125
ECNURUNA2         	0.1000	0	hpclab_pi_algA    	0.1000	2	0.0000
ECNURUNA2         	0.1000	0	UWaterlooATEK     	0.0452	28	0.0548
ECNURUNA2         	0.1000	0	UWaterlooATNDEK   	0.0452	32	0.0548
ECNURUNA2         	0.1000	0	udelRun2A         	0.2261	36	-0.1261
ECNURUNA2         	0.1000	0	udelRun1A         	0.2561	56	-0.1561
ECNURUNA2         	0.1000	0	MPII_HYBRID_PW    	0.0944	56	0.0056
ECNURUNA2         	0.1000	0	umd_hcil_run01    	0.1000	0	0.0000
ECNURUNA2         	0.1000	0	ECNURUNA3         	0.1000	0	0.0000
ECNURUNA2         	0.1000	0	prnaTaskA3        	0.2100	5	-0.1100
ECNURUNA2         	0.1000	0	prnaTaskA2        	0.2343	8	-0.1343
ECNURUNA2         	0.1000	0	prnaTaskA1        	0.2543	15	-0.1543
ECNURUNA2         	0.1000	0	SNACSA            	0.1700	100	-0.0700
ECNURUNA2         	0.1000	0	PKUICSTRunA3      	0.1654	62	-0.0654
ECNURUNA2         	0.1000	0	PKUICSTRunA2      	0.1444	40	-0.0444
ECNURUNA2         	0.1000	0	PKUICSTRunA1      	0.1536	57	-0.0536
ECNURUNA2         	0.1000	0	MPII_COMB_SORT    	0.1580	97	-0.0580
ECNURUNA2         	0.1000	0	SNACS_LA          	0.1050	61	-0.0050
ECNURUNA2         	0.1000	0	UWaterlooATDK     	0.1000	14	0.0000
ECNURUNA2         	0.1000	0	QUDynExp          	0.0518	57	0.0482
ECNURUNA2         	0.1000	0	IRIT-KLTFIDF      	0.2200	26	-0.1200
ECNURUNA2         	0.1000	0	IritSigSDA        	0.1000	0	0.0000
ECNURUNA2         	0.1000	0	IRIT-RTNotif.33   	0.1021	49	-0.0021
ECNURUNA2         	0.1000	0	QUDyn             	0.1375	54	-0.0375
ECNURUNA2         	0.1000	0	UWCMBP1           	0.0725	26	0.0275
ECNURUNA2         	0.1000	0	UWCMBP2           	0.1886	63	-0.0886
ECNURUNA2         	0.1000	0	QUBaseline        	0.1000	4	0.0000
ECNURUNA2         	0.1000	0	umd_hcil_run02    	0.1000	0	0.0000
ECNURUNA2         	0.1000	0	MPII_LUC_SORT     	0.1856	90	-0.0856
ECNURUNA2         	0.1000	0	udelRun3A         	0.0875	27	0.0125
ECNURUNA3         	0.1000	0	hpclab_pi_algA    	0.1000	2	0.0000
ECNURUNA3         	0.1000	0	UWaterlooATEK     	0.0452	28	0.0548
ECNURUNA3         	0.1000	0	UWaterlooATNDEK   	0.0452	32	0.0548
ECNURUNA3         	0.1000	0	udelRun2A         	0.2261	36	-0.1261
ECNURUNA3         	0.1000	0	udelRun1A         	0.2561	56	-0.1561
ECNURUNA3         	0.1000	0	MPII_HYBRID_PW    	0.0944	56	0.0056
ECNURUNA3         	0.1000	0	umd_hcil_run01    	0.1000	0	0.0000
ECNURUNA3         	0.1000	0	prnaTaskA3        	0.2100	5	-0.1100
ECNURUNA3         	0.1000	0	prnaTaskA2        	0.2343	8	-0.1343
ECNURUNA3         	0.1000	0	prnaTaskA1        	0.2543	15	-0.1543
ECNURUNA3         	0.1000	0	SNACSA            	0.1700	100	-0.0700
ECNURUNA3         	0.1000	0	PKUICSTRunA3      	0.1654	62	-0.0654
ECNURUNA3         	0.1000	0	PKUICSTRunA2      	0.1444	40	-0.0444
ECNURUNA3         	0.1000	0	PKUICSTRunA1      	0.1536	57	-0.0536
ECNURUNA3         	0.1000	0	MPII_COMB_SORT    	0.1580	97	-0.0580
ECNURUNA3         	0.1000	0	SNACS_LA          	0.1050	61	-0.0050
ECNURUNA3         	0.1000	0	UWaterlooATDK     	0.1000	14	0.0000
ECNURUNA3         	0.1000	0	QUDynExp          	0.0518	57	0.0482
ECNURUNA3         	0.1000	0	IRIT-KLTFIDF      	0.2200	26	-0.1200
ECNURUNA3         	0.1000	0	IritSigSDA        	0.1000	0	0.0000
ECNURUNA3         	0.1000	0	IRIT-RTNotif.33   	0.1021	49	-0.0021
ECNURUNA3         	0.1000	0	QUDyn             	0.1375	54	-0.0375
ECNURUNA3         	0.1000	0	UWCMBP1           	0.0725	26	0.0275
ECNURUNA3         	0.1000	0	UWCMBP2           	0.1886	63	-0.0886
ECNURUNA3         	0.1000	0	QUBaseline        	0.1000	4	0.0000
ECNURUNA3         	0.1000	0	umd_hcil_run02    	0.1000	0	0.0000
ECNURUNA3         	0.1000	0	MPII_LUC_SORT     	0.1856	90	-0.0856
ECNURUNA3         	0.1000	0	udelRun3A         	0.0875	27	0.0125
prnaTaskA3        	0.2100	5	udelRun2A         	0.2261	36	-0.0161
prnaTaskA3        	0.2100	5	udelRun1A         	0.2561	56	-0.0461
prnaTaskA3        	0.2100	5	umd_hcil_run01    	0.1000	0	0.1100
prnaTaskA3        	0.2100	5	umd_hcil_run02    	0.1000	0	0.1100
prnaTaskA3        	0.2100	5	udelRun3A         	0.0875	27	0.1225
prnaTaskA2        	0.2343	8	udelRun2A         	0.2261	36	0.0082
prnaTaskA2        	0.2343	8	udelRun1A         	0.2561	56	-0.0218
prnaTaskA2        	0.2343	8	umd_hcil_run01    	0.1000	0	0.1343
prnaTaskA2        	0.2343	8	prnaTaskA3        	0.2100	5	0.0243
prnaTaskA2        	0.2343	8	umd_hcil_run02    	0.1000	0	0.1343
prnaTaskA2        	0.2343	8	udelRun3A         	0.0875	27	0.1468
prnaTaskA1        	0.2543	15	udelRun2A         	0.2261	36	0.0282
prnaTaskA1        	0.2543	15	udelRun1A         	0.2561	56	-0.0018
prnaTaskA1        	0.2543	15	umd_hcil_run01    	0.1000	0	0.1543
prnaTaskA1        	0.2543	15	prnaTaskA3        	0.2100	5	0.0443
prnaTaskA1        	0.2543	15	prnaTaskA2        	0.2343	8	0.0200
prnaTaskA1        	0.2543	15	umd_hcil_run02    	0.1000	0	0.1543
prnaTaskA1        	0.2543	15	udelRun3A         	0.0875	27	0.1668
SNACSA            	0.1700	100	hpclab_pi_algA    	0.1000	2	0.0700
SNACSA            	0.1700	100	UWaterlooATEK     	0.0452	28	0.1248
SNACSA            	0.1700	100	UWaterlooATNDEK   	0.0452	32	0.1248
SNACSA            	0.1700	100	udelRun2A         	0.2261	36	-0.0561
SNACSA            	0.1700	100	udelRun1A         	0.2561	56	-0.0861
SNACSA            	0.1700	100	umd_hcil_run01    	0.1000	0	0.0700
SNACSA            	0.1700	100	prnaTaskA3        	0.2100	5	-0.0400
SNACSA            	0.1700	100	prnaTaskA2        	0.2343	8	-0.0643
SNACSA            	0.1700	100	prnaTaskA1        	0.2543	15	-0.0843
SNACSA            	0.1700	100	SNACS_LA          	0.1050	61	0.0650
SNACSA            	0.1700	100	UWaterlooATDK     	0.1000	14	0.0700
SNACSA            	0.1700	100	UWCMBP1           	0.0725	26	0.0975
SNACSA            	0.1700	100	UWCMBP2           	0.1886	63	-0.0186
SNACSA            	0.1700	100	umd_hcil_run02    	0.1000	0	0.0700
SNACSA            	0.1700	100	udelRun3A         	0.0875	27	0.0825
PKUICSTRunA3      	0.1654	62	hpclab_pi_algA    	0.1000	2	0.0654
PKUICSTRunA3      	0.1654	62	UWaterlooATEK     	0.0452	28	0.1202
PKUICSTRunA3      	0.1654	62	UWaterlooATNDEK   	0.0452	32	0.1202
PKUICSTRunA3      	0.1654	62	udelRun2A         	0.2261	36	-0.0607
PKUICSTRunA3      	0.1654	62	udelRun1A         	0.2561	56	-0.0907
PKUICSTRunA3      	0.1654	62	umd_hcil_run01    	0.1000	0	0.0654
PKUICSTRunA3      	0.1654	62	prnaTaskA3        	0.2100	5	-0.0446
PKUICSTRunA3      	0.1654	62	prnaTaskA2        	0.2343	8	-0.0689
PKUICSTRunA3      	0.1654	62	prnaTaskA1        	0.2543	15	-0.0889
PKUICSTRunA3      	0.1654	62	SNACSA            	0.1700	100	-0.0046
PKUICSTRunA3      	0.1654	62	SNACS_LA          	0.1050	61	0.0604
PKUICSTRunA3      	0.1654	62	UWaterlooATDK     	0.1000	14	0.0654
PKUICSTRunA3      	0.1654	62	QUDynExp          	0.0518	57	0.1136
PKUICSTRunA3      	0.1654	62	QUDyn             	0.1375	54	0.0279
PKUICSTRunA3      	0.1654	62	UWCMBP1           	0.0725	26	0.0929
PKUICSTRunA3      	0.1654	62	UWCMBP2           	0.1886	63	-0.0232
PKUICSTRunA3      	0.1654	62	QUBaseline        	0.1000	4	0.0654
PKUICSTRunA3      	0.1654	62	umd_hcil_run02    	0.1000	0	0.0654
PKUICSTRunA3      	0.1654	62	udelRun3A         	0.0875	27	0.0779
PKUICSTRunA2      	0.1444	40	hpclab_pi_algA    	0.1000	2	0.0444
PKUICSTRunA2      	0.1444	40	UWaterlooATEK     	0.0452	28	0.0992
PKUICSTRunA2      	0.1444	40	UWaterlooATNDEK   	0.0452	32	0.0992
PKUICSTRunA2      	0.1444	40	udelRun2A         	0.2261	36	-0.0817
PKUICSTRunA2      	0.1444	40	udelRun1A         	0.2561	56	-0.1117
PKUICSTRunA2      	0.1444	40	umd_hcil_run01    	0.1000	0	0.0444
PKUICSTRunA2      	0.1444	40	prnaTaskA3        	0.2100	5	-0.0656
PKUICSTRunA2      	0.1444	40	prnaTaskA2        	0.2343	8	-0.0899
PKUICSTRunA2      	0.1444	40	prnaTaskA1        	0.2543	15	-0.1099
PKUICSTRunA2      	0.1444	40	SNACSA            	0.1700	100	-0.0256
PKUICSTRunA2      	0.1444	40	PKUICSTRunA3      	0.1654	62	-0.0210
PKUICSTRunA2      	0.1444	40	SNACS_LA          	0.1050	61	0.0394
PKUICSTRunA2      	0.1444	40	UWaterlooATDK     	0.1000	14	0.0444
PKUICSTRunA2      	0.1444	40	QUDynExp          	0.0518	57	0.0926
PKUICSTRunA2      	0.1444	40	QUDyn             	0.1375	54	0.0069
PKUICSTRunA2      	0.1444	40	UWCMBP1           	0.0725	26	0.0719
PKUICSTRunA2      	0.1444	40	UWCMBP2           	0.1886	63	-0.0442
PKUICSTRunA2      	0.1444	40	QUBaseline        	0.1000	4	0.0444
PKUICSTRunA2      	0.1444	40	umd_hcil_run02    	0.1000	0	0.0444
PKUICSTRunA2      	0.1444	40	udelRun3A         	0.0875	27	0.0569
PKUICSTRunA1      	0.1536	57	hpclab_pi_algA    	0.1000	2	0.0536
PKUICSTRunA1      	0.1536	57	UWaterlooATEK     	0.0452	28	0.1084
PKUICSTRunA1      	0.1536	57	UWaterlooATNDEK   	0.0452	32	0.1084
PKUICSTRunA1      	0.1536	57	udelRun2A         	0.2261	36	-0.0725
PKUICSTRunA1      	0.1536	57	udelRun1A         	0.2561	56	-0.1025
PKUICSTRunA1      	0.1536	57	umd_hcil_run01    	0.1000	0	0.0536
PKUICSTRunA1      	0.1536	57	prnaTaskA3        	0.2100	5	-0.0564
PKUICSTRunA1      	0.1536	57	prnaTaskA2        	0.2343	8	-0.0807
PKUICSTRunA1      	0.1536	57	prnaTaskA1        	0.2543	15	-0.1007
PKUICSTRunA1      	0.1536	57	SNACSA            	0.1700	100	-0.0164
PKUICSTRunA1      	0.1536	57	PKUICSTRunA3      	0.1654	62	-0.0118
PKUICSTRunA1      	0.1536	57	PKUICSTRunA2      	0.1444	40	0.0092
PKUICSTRunA1      	0.1536	57	SNACS_LA          	0.1050	61	0.0486
PKUICSTRunA1      	0.1536	57	UWaterlooATDK     	0.1000	14	0.0536
PKUICSTRunA1      	0.1536	57	QUDynExp          	0.0518	57	0.1018
PKUICSTRunA1      	0.1536	57	QUDyn             	0.1375	54	0.0161
PKUICSTRunA1      	0.1536	57	UWCMBP1           	0.0725	26	0.0811
PKUICSTRunA1      	0.1536	57	UWCMBP2           	0.1886	63	-0.0350
PKUICSTRunA1      	0.1536	57	QUBaseline        	0.1000	4	0.0536
PKUICSTRunA1      	0.1536	57	umd_hcil_run02    	0.1000	0	0.0536
PKUICSTRunA1      	0.1536	57	udelRun3A         	0.0875	27	0.0661
MPII_COMB_SORT    	0.1580	97	hpclab_pi_algA    	0.1000	2	0.0580
MPII_COMB_SORT    	0.1580	97	UWaterlooATEK     	0.0452	28	0.1128
MPII_COMB_SORT    	0.1580	97	UWaterlooATNDEK   	0.0452	32	0.1128
MPII_COMB_SORT    	0.1580	97	udelRun2A         	0.2261	36	-0.0681
MPII_COMB_SORT    	0.1580	97	udelRun1A         	0.2561	56	-0.0981
MPII_COMB_SORT    	0.1580	97	MPII_HYBRID_PW    	0.0944	56	0.0636
MPII_COMB_SORT    	0.1580	97	umd_hcil_run01    	0.1000	0	0.0580
MPII_COMB_SORT    	0.1580	97	prnaTaskA3        	0.2100	5	-0.0520
MPII_COMB_SORT    	0.1580	97	prnaTaskA2        	0.2343	8	-0.0763
MPII_COMB_SORT    	0.1580	97	prnaTaskA1        	0.2543	15	-0.0963
MPII_COMB_SORT    	0.1580	97	SNACSA            	0.1700	100	-0.0120
MPII_COMB_SORT    	0.1580	97	PKUICSTRunA3      	0.1654	62	-0.0074
MPII_COMB_SORT    	0.1580	97	PKUICSTRunA2      	0.1444	40	0.0136
MPII_COMB_SORT    	0.1580	97	PKUICSTRunA1      	0.1536	57	0.0044
MPII_COMB_SORT    	0.1580	97	SNACS_LA          	0.1050	61	0.0530
MPII_COMB_SORT    	0.1580	97	UWaterlooATDK     	0.1000	14	0.0580
MPII_COMB_SORT    	0.1580	97	QUDynExp          	0.0518	57	0.1062
MPII_COMB_SORT    	0.1580	97	QUDyn             	0.1375	54	0.0205
MPII_COMB_SORT    	0.1580	97	UWCMBP1           	0.0725	26	0.0855
MPII_COMB_SORT    	0.1580	97	UWCMBP2           	0.1886	63	-0.0306
MPII_COMB_SORT    	0.1580	97	QUBaseline        	0.1000	4	0.0580
MPII_COMB_SORT    	0.1580	97	umd_hcil_run02    	0.1000	0	0.0580
MPII_COMB_SORT    	0.1580	97	MPII_LUC_SORT     	0.1856	90	-0.0276
MPII_COMB_SORT    	0.1580	97	udelRun3A         	0.0875	27	0.0705
SNACS_LA          	0.1050	61	hpclab_pi_algA    	0.1000	2	0.0050
SNACS_LA          	0.1050	61	UWaterlooATEK     	0.0452	28	0.0598
SNACS_LA          	0.1050	61	UWaterlooATNDEK   	0.0452	32	0.0598
SNACS_LA          	0.1050	61	udelRun2A         	0.2261	36	-0.1211
SNACS_LA          	0.1050	61	udelRun1A         	0.2561	56	-0.1511
SNACS_LA          	0.1050	61	umd_hcil_run01    	0.1000	0	0.0050
SNACS_LA          	0.1050	61	prnaTaskA3        	0.2100	5	-0.1050
SNACS_LA          	0.1050	61	prnaTaskA2        	0.2343	8	-0.1293
SNACS_LA          	0.1050	61	prnaTaskA1        	0.2543	15	-0.1493
SNACS_LA          	0.1050	61	UWaterlooATDK     	0.1000	14	0.0050
SNACS_LA          	0.1050	61	UWCMBP1           	0.0725	26	0.0325
SNACS_LA          	0.1050	61	UWCMBP2           	0.1886	63	-0.0836
SNACS_LA          	0.1050	61	umd_hcil_run02    	0.1000	0	0.0050
SNACS_LA          	0.1050	61	udelRun3A         	0.0875	27	0.0175
UWaterlooATDK     	0.1000	14	hpclab_pi_algA    	0.1000	2	0.0000
UWaterlooATDK     	0.1000	14	UWaterlooATEK     	0.0452	28	0.0548
UWaterlooATDK     	0.1000	14	UWaterlooATNDEK   	0.0452	32	0.0548
UWaterlooATDK     	0.1000	14	udelRun2A         	0.2261	36	-0.1261
UWaterlooATDK     	0.1000	14	udelRun1A         	0.2561	56	-0.1561
UWaterlooATDK     	0.1000	14	umd_hcil_run01    	0.1000	0	0.0000
UWaterlooATDK     	0.1000	14	prnaTaskA3        	0.2100	5	-0.1100
UWaterlooATDK     	0.1000	14	prnaTaskA2        	0.2343	8	-0.1343
UWaterlooATDK     	0.1000	14	prnaTaskA1        	0.2543	15	-0.1543
UWaterlooATDK     	0.1000	14	umd_hcil_run02    	0.1000	0	0.0000
UWaterlooATDK     	0.1000	14	udelRun3A         	0.0875	27	0.0125
QUDynExp          	0.0518	57	hpclab_pi_algA    	0.1000	2	-0.0482
QUDynExp          	0.0518	57	UWaterlooATEK     	0.0452	28	0.0066
QUDynExp          	0.0518	57	UWaterlooATNDEK   	0.0452	32	0.0066
QUDynExp          	0.0518	57	udelRun2A         	0.2261	36	-0.1743
QUDynExp          	0.0518	57	udelRun1A         	0.2561	56	-0.2043
QUDynExp          	0.0518	57	umd_hcil_run01    	0.1000	0	-0.0482
QUDynExp          	0.0518	57	prnaTaskA3        	0.2100	5	-0.1582
QUDynExp          	0.0518	57	prnaTaskA2        	0.2343	8	-0.1825
QUDynExp          	0.0518	57	prnaTaskA1        	0.2543	15	-0.2025
QUDynExp          	0.0518	57	SNACSA            	0.1700	100	-0.1182
QUDynExp          	0.0518	57	SNACS_LA          	0.1050	61	-0.0532
QUDynExp          	0.0518	57	UWaterlooATDK     	0.1000	14	-0.0482
QUDynExp          	0.0518	57	UWCMBP1           	0.0725	26	-0.0207
QUDynExp          	0.0518	57	UWCMBP2           	0.1886	63	-0.1368
QUDynExp          	0.0518	57	umd_hcil_run02    	0.1000	0	-0.0482
QUDynExp          	0.0518	57	udelRun3A         	0.0875	27	-0.0357
IRIT-KLTFIDF      	0.2200	26	hpclab_pi_algA    	0.1000	2	0.1200
IRIT-KLTFIDF      	0.2200	26	UWaterlooATEK     	0.0452	28	0.1748
IRIT-KLTFIDF      	0.2200	26	UWaterlooATNDEK   	0.0452	32	0.1748
IRIT-KLTFIDF      	0.2200	26	udelRun2A         	0.2261	36	-0.0061
IRIT-KLTFIDF      	0.2200	26	udelRun1A         	0.2561	56	-0.0361
IRIT-KLTFIDF      	0.2200	26	MPII_HYBRID_PW    	0.0944	56	0.1256
IRIT-KLTFIDF      	0.2200	26	umd_hcil_run01    	0.1000	0	0.1200
IRIT-KLTFIDF      	0.2200	26	prnaTaskA3        	0.2100	5	0.0100
IRIT-KLTFIDF      	0.2200	26	prnaTaskA2        	0.2343	8	-0.0143
IRIT-KLTFIDF      	0.2200	26	prnaTaskA1        	0.2543	15	-0.0343
IRIT-KLTFIDF      	0.2200	26	SNACSA            	0.1700	100	0.0500
IRIT-KLTFIDF      	0.2200	26	PKUICSTRunA3      	0.1654	62	0.0546
IRIT-KLTFIDF      	0.2200	26	PKUICSTRunA2      	0.1444	40	0.0756
IRIT-KLTFIDF      	0.2200	26	PKUICSTRunA1      	0.1536	57	0.0664
IRIT-KLTFIDF      	0.2200	26	MPII_COMB_SORT    	0.1580	97	0.0620
IRIT-KLTFIDF      	0.2200	26	SNACS_LA          	0.1050	61	0.1150
IRIT-KLTFIDF      	0.2200	26	UWaterlooATDK     	0.1000	14	0.1200
IRIT-KLTFIDF      	0.2200	26	QUDynExp          	0.0518	57	0.1682
IRIT-KLTFIDF      	0.2200	26	IritSigSDA        	0.1000	0	0.1200
IRIT-KLTFIDF      	0.2200	26	IRIT-RTNotif.33   	0.1021	49	0.1179
IRIT-KLTFIDF      	0.2200	26	QUDyn             	0.1375	54	0.0825
IRIT-KLTFIDF      	0.2200	26	UWCMBP1           	0.0725	26	0.1475
IRIT-KLTFIDF      	0.2200	26	UWCMBP2           	0.1886	63	0.0314
IRIT-KLTFIDF      	0.2200	26	QUBaseline        	0.1000	4	0.1200
IRIT-KLTFIDF      	0.2200	26	umd_hcil_run02    	0.1000	0	0.1200
IRIT-KLTFIDF      	0.2200	26	MPII_LUC_SORT     	0.1856	90	0.0344
IRIT-KLTFIDF      	0.2200	26	udelRun3A         	0.0875	27	0.1325
IritSigSDA        	0.1000	0	hpclab_pi_algA    	0.1000	2	0.0000
IritSigSDA        	0.1000	0	UWaterlooATEK     	0.0452	28	0.0548
IritSigSDA        	0.1000	0	UWaterlooATNDEK   	0.0452	32	0.0548
IritSigSDA        	0.1000	0	udelRun2A         	0.2261	36	-0.1261
IritSigSDA        	0.1000	0	udelRun1A         	0.2561	56	-0.1561
IritSigSDA        	0.1000	0	MPII_HYBRID_PW    	0.0944	56	0.0056
IritSigSDA        	0.1000	0	umd_hcil_run01    	0.1000	0	0.0000
IritSigSDA        	0.1000	0	prnaTaskA3        	0.2100	5	-0.1100
IritSigSDA        	0.1000	0	prnaTaskA2        	0.2343	8	-0.1343
IritSigSDA        	0.1000	0	prnaTaskA1        	0.2543	15	-0.1543
IritSigSDA        	0.1000	0	SNACSA            	0.1700	100	-0.0700
IritSigSDA        	0.1000	0	PKUICSTRunA3      	0.1654	62	-0.0654
IritSigSDA        	0.1000	0	PKUICSTRunA2      	0.1444	40	-0.0444
IritSigSDA        	0.1000	0	PKUICSTRunA1      	0.1536	57	-0.0536
