hpclab_pi_algA    	0.0000	26	udelRun2A         	0.0000	15	0.0000
MPII_HYBRID_PW    	0.0730	48	PKUICSTRunA1      	0.0844	43	-0.0114
MPII_HYBRID_PW    	0.0730	48	SNACS_LA          	0.0000	0	0.0730
MPII_HYBRID_PW    	0.0730	48	UWaterlooATDK     	0.0735	30	-0.0005
MPII_HYBRID_PW    	0.0730	48	QUDynExp          	0.1236	64	-0.0506
MPII_HYBRID_PW    	0.0730	48	QUDyn             	0.1536	78	-0.0806
MPII_HYBRID_PW    	0.0730	48	UWCMBP1           	0.1850	59	-0.1120
MPII_HYBRID_PW    	0.0730	48	UWCMBP2           	0.0234	34	0.0496
MPII_HYBRID_PW    	0.0730	48	QUBaseline        	0.0928	51	-0.0198
MPII_HYBRID_PW    	0.0730	48	umd_hcil_run02    	0.0000	9	0.0730
MPII_HYBRID_PW    	0.0730	48	MPII_LUC_SORT     	0.1667	90	-0.0937
MPII_HYBRID_PW    	0.0730	48	udelRun3A         	0.1234	35	-0.0504
umd_hcil_run01    	0.0000	0	umd_hcil_run02    	0.0000	9	0.0000
ECNURUNA1         	0.0000	79	hpclab_pi_algA    	0.0000	26	0.0000
ECNURUNA1         	0.0000	79	UWaterlooATEK     	0.1115	36	-0.1115
ECNURUNA1         	0.0000	79	UWaterlooATNDEK   	0.1517	45	-0.1517
ECNURUNA1         	0.0000	79	udelRun2A         	0.0000	15	0.0000
ECNURUNA1         	0.0000	79	udelRun1A         	0.0955	33	-0.0955
ECNURUNA1         	0.0000	79	MPII_HYBRID_PW    	0.0730	48	-0.0730
ECNURUNA1         	0.0000	79	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA1         	0.0000	79	ECNURUNA2         	0.0000	72	0.0000
ECNURUNA1         	0.0000	79	ECNURUNA3         	0.0000	73	0.0000
ECNURUNA1         	0.0000	79	prnaTaskA3        	0.0000	9	0.0000
ECNURUNA1         	0.0000	79	prnaTaskA2        	0.0154	11	-0.0154
ECNURUNA1         	0.0000	79	prnaTaskA1        	0.3458	76	-0.3458
ECNURUNA1         	0.0000	79	SNACSA            	0.0000	0	0.0000
ECNURUNA1         	0.0000	79	PKUICSTRunA3      	0.1426	56	-0.1426
ECNURUNA1         	0.0000	79	PKUICSTRunA2      	0.2820	88	-0.2820
ECNURUNA1         	0.0000	79	PKUICSTRunA1      	0.0844	43	-0.0844
ECNURUNA1         	0.0000	79	MPII_COMB_SORT    	0.2181	93	-0.2181
ECNURUNA1         	0.0000	79	SNACS_LA          	0.0000	0	0.0000
ECNURUNA1         	0.0000	79	UWaterlooATDK     	0.0735	30	-0.0735
ECNURUNA1         	0.0000	79	QUDynExp          	0.1236	64	-0.1236
ECNURUNA1         	0.0000	79	IRIT-KLTFIDF      	0.0222	21	-0.0222
ECNURUNA1         	0.0000	79	IritSigSDA        	0.0000	4	0.0000
ECNURUNA1         	0.0000	79	IRIT-RTNotif.33   	0.1748	75	-0.1748
ECNURUNA1         	0.0000	79	QUDyn             	0.1536	78	-0.1536
ECNURUNA1         	0.0000	79	UWCMBP1           	0.1850	59	-0.1850
ECNURUNA1         	0.0000	79	UWCMBP2           	0.0234	34	-0.0234
ECNURUNA1         	0.0000	79	QUBaseline        	0.0928	51	-0.0928
ECNURUNA1         	0.0000	79	umd_hcil_run02    	0.0000	9	0.0000
ECNURUNA1         	0.0000	79	MPII_LUC_SORT     	0.1667	90	-0.1667
ECNURUNA1         	0.0000	79	udelRun3A         	0.1234	35	-0.1234
ECNURUNA2         	0.0000	72	hpclab_pi_algA    	0.0000	26	0.0000
ECNURUNA2         	0.0000	72	UWaterlooATEK     	0.1115	36	-0.1115
ECNURUNA2         	0.0000	72	UWaterlooATNDEK   	0.1517	45	-0.1517
ECNURUNA2         	0.0000	72	udelRun2A         	0.0000	15	0.0000
ECNURUNA2         	0.0000	72	udelRun1A         	0.0955	33	-0.0955
ECNURUNA2         	0.0000	72	MPII_HYBRID_PW    	0.0730	48	-0.0730
ECNURUNA2         	0.0000	72	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA2         	0.0000	72	ECNURUNA3         	0.0000	73	0.0000
ECNURUNA2         	0.0000	72	prnaTaskA3        	0.0000	9	0.0000
ECNURUNA2         	0.0000	72	prnaTaskA2        	0.0154	11	-0.0154
ECNURUNA2         	0.0000	72	prnaTaskA1        	0.3458	76	-0.3458
ECNURUNA2         	0.0000	72	SNACSA            	0.0000	0	0.0000
ECNURUNA2         	0.0000	72	PKUICSTRunA3      	0.1426	56	-0.1426
ECNURUNA2         	0.0000	72	PKUICSTRunA2      	0.2820	88	-0.2820
ECNURUNA2         	0.0000	72	PKUICSTRunA1      	0.0844	43	-0.0844
ECNURUNA2         	0.0000	72	MPII_COMB_SORT    	0.2181	93	-0.2181
ECNURUNA2         	0.0000	72	SNACS_LA          	0.0000	0	0.0000
ECNURUNA2         	0.0000	72	UWaterlooATDK     	0.0735	30	-0.0735
ECNURUNA2         	0.0000	72	QUDynExp          	0.1236	64	-0.1236
ECNURUNA2         	0.0000	72	IRIT-KLTFIDF      	0.0222	21	-0.0222
ECNURUNA2         	0.0000	72	IritSigSDA        	0.0000	4	0.0000
ECNURUNA2         	0.0000	72	IRIT-RTNotif.33   	0.1748	75	-0.1748
ECNURUNA2         	0.0000	72	QUDyn             	0.1536	78	-0.1536
ECNURUNA2         	0.0000	72	UWCMBP1           	0.1850	59	-0.1850
ECNURUNA2         	0.0000	72	UWCMBP2           	0.0234	34	-0.0234
ECNURUNA2         	0.0000	72	QUBaseline        	0.0928	51	-0.0928
ECNURUNA2         	0.0000	72	umd_hcil_run02    	0.0000	9	0.0000
ECNURUNA2         	0.0000	72	MPII_LUC_SORT     	0.1667	90	-0.1667
ECNURUNA2         	0.0000	72	udelRun3A         	0.1234	35	-0.1234
ECNURUNA3         	0.0000	73	hpclab_pi_algA    	0.0000	26	0.0000
ECNURUNA3         	0.0000	73	UWaterlooATEK     	0.1115	36	-0.1115
ECNURUNA3         	0.0000	73	UWaterlooATNDEK   	0.1517	45	-0.1517
ECNURUNA3         	0.0000	73	udelRun2A         	0.0000	15	0.0000
ECNURUNA3         	0.0000	73	udelRun1A         	0.0955	33	-0.0955
ECNURUNA3         	0.0000	73	MPII_HYBRID_PW    	0.0730	48	-0.0730
ECNURUNA3         	0.0000	73	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA3         	0.0000	73	prnaTaskA3        	0.0000	9	0.0000
ECNURUNA3         	0.0000	73	prnaTaskA2        	0.0154	11	-0.0154
ECNURUNA3         	0.0000	73	prnaTaskA1        	0.3458	76	-0.3458
ECNURUNA3         	0.0000	73	SNACSA            	0.0000	0	0.0000
ECNURUNA3         	0.0000	73	PKUICSTRunA3      	0.1426	56	-0.1426
ECNURUNA3         	0.0000	73	PKUICSTRunA2      	0.2820	88	-0.2820
ECNURUNA3         	0.0000	73	PKUICSTRunA1      	0.0844	43	-0.0844
ECNURUNA3         	0.0000	73	MPII_COMB_SORT    	0.2181	93	-0.2181
ECNURUNA3         	0.0000	73	SNACS_LA          	0.0000	0	0.0000
ECNURUNA3         	0.0000	73	UWaterlooATDK     	0.0735	30	-0.0735
ECNURUNA3         	0.0000	73	QUDynExp          	0.1236	64	-0.1236
ECNURUNA3         	0.0000	73	IRIT-KLTFIDF      	0.0222	21	-0.0222
ECNURUNA3         	0.0000	73	IritSigSDA        	0.0000	4	0.0000
ECNURUNA3         	0.0000	73	IRIT-RTNotif.33   	0.1748	75	-0.1748
ECNURUNA3         	0.0000	73	QUDyn             	0.1536	78	-0.1536
ECNURUNA3         	0.0000	73	UWCMBP1           	0.1850	59	-0.1850
ECNURUNA3         	0.0000	73	UWCMBP2           	0.0234	34	-0.0234
ECNURUNA3         	0.0000	73	QUBaseline        	0.0928	51	-0.0928
ECNURUNA3         	0.0000	73	umd_hcil_run02    	0.0000	9	0.0000
ECNURUNA3         	0.0000	73	MPII_LUC_SORT     	0.1667	90	-0.1667
ECNURUNA3         	0.0000	73	udelRun3A         	0.1234	35	-0.1234
prnaTaskA3        	0.0000	9	udelRun2A         	0.0000	15	0.0000
prnaTaskA3        	0.0000	9	udelRun1A         	0.0955	33	-0.0955
prnaTaskA3        	0.0000	9	umd_hcil_run01    	0.0000	0	0.0000
prnaTaskA3        	0.0000	9	umd_hcil_run02    	0.0000	9	0.0000
prnaTaskA3        	0.0000	9	udelRun3A         	0.1234	35	-0.1234
prnaTaskA2        	0.0154	11	udelRun2A         	0.0000	15	0.0154
prnaTaskA2        	0.0154	11	udelRun1A         	0.0955	33	-0.0801
prnaTaskA2        	0.0154	11	umd_hcil_run01    	0.0000	0	0.0154
prnaTaskA2        	0.0154	11	prnaTaskA3        	0.0000	9	0.0154
prnaTaskA2        	0.0154	11	umd_hcil_run02    	0.0000	9	0.0154
prnaTaskA2        	0.0154	11	udelRun3A         	0.1234	35	-0.1080
prnaTaskA1        	0.3458	76	udelRun2A         	0.0000	15	0.3458
prnaTaskA1        	0.3458	76	udelRun1A         	0.0955	33	0.2503
prnaTaskA1        	0.3458	76	umd_hcil_run01    	0.0000	0	0.3458
prnaTaskA1        	0.3458	76	prnaTaskA3        	0.0000	9	0.3458
prnaTaskA1        	0.3458	76	prnaTaskA2        	0.0154	11	0.3304
prnaTaskA1        	0.3458	76	umd_hcil_run02    	0.0000	9	0.3458
prnaTaskA1        	0.3458	76	udelRun3A         	0.1234	35	0.2224
SNACSA            	0.0000	0	hpclab_pi_algA    	0.0000	26	0.0000
SNACSA            	0.0000	0	UWaterlooATEK     	0.1115	36	-0.1115
SNACSA            	0.0000	0	UWaterlooATNDEK   	0.1517	45	-0.1517
SNACSA            	0.0000	0	udelRun2A         	0.0000	15	0.0000
SNACSA            	0.0000	0	udelRun1A         	0.0955	33	-0.0955
SNACSA            	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
SNACSA            	0.0000	0	prnaTaskA3        	0.0000	9	0.0000
SNACSA            	0.0000	0	prnaTaskA2        	0.0154	11	-0.0154
SNACSA            	0.0000	0	prnaTaskA1        	0.3458	76	-0.3458
SNACSA            	0.0000	0	SNACS_LA          	0.0000	0	0.0000
SNACSA            	0.0000	0	UWaterlooATDK     	0.0735	30	-0.0735
SNACSA            	0.0000	0	UWCMBP1           	0.1850	59	-0.1850
SNACSA            	0.0000	0	UWCMBP2           	0.0234	34	-0.0234
SNACSA            	0.0000	0	umd_hcil_run02    	0.0000	9	0.0000
SNACSA            	0.0000	0	udelRun3A         	0.1234	35	-0.1234
PKUICSTRunA3      	0.1426	56	hpclab_pi_algA    	0.0000	26	0.1426
PKUICSTRunA3      	0.1426	56	UWaterlooATEK     	0.1115	36	0.0311
PKUICSTRunA3      	0.1426	56	UWaterlooATNDEK   	0.1517	45	-0.0091
PKUICSTRunA3      	0.1426	56	udelRun2A         	0.0000	15	0.1426
PKUICSTRunA3      	0.1426	56	udelRun1A         	0.0955	33	0.0471
PKUICSTRunA3      	0.1426	56	umd_hcil_run01    	0.0000	0	0.1426
PKUICSTRunA3      	0.1426	56	prnaTaskA3        	0.0000	9	0.1426
PKUICSTRunA3      	0.1426	56	prnaTaskA2        	0.0154	11	0.1272
PKUICSTRunA3      	0.1426	56	prnaTaskA1        	0.3458	76	-0.2032
PKUICSTRunA3      	0.1426	56	SNACSA            	0.0000	0	0.1426
PKUICSTRunA3      	0.1426	56	SNACS_LA          	0.0000	0	0.1426
PKUICSTRunA3      	0.1426	56	UWaterlooATDK     	0.0735	30	0.0691
PKUICSTRunA3      	0.1426	56	QUDynExp          	0.1236	64	0.0190
PKUICSTRunA3      	0.1426	56	QUDyn             	0.1536	78	-0.0110
PKUICSTRunA3      	0.1426	56	UWCMBP1           	0.1850	59	-0.0424
PKUICSTRunA3      	0.1426	56	UWCMBP2           	0.0234	34	0.1192
PKUICSTRunA3      	0.1426	56	QUBaseline        	0.0928	51	0.0498
PKUICSTRunA3      	0.1426	56	umd_hcil_run02    	0.0000	9	0.1426
PKUICSTRunA3      	0.1426	56	udelRun3A         	0.1234	35	0.0192
PKUICSTRunA2      	0.2820	88	hpclab_pi_algA    	0.0000	26	0.2820
PKUICSTRunA2      	0.2820	88	UWaterlooATEK     	0.1115	36	0.1705
PKUICSTRunA2      	0.2820	88	UWaterlooATNDEK   	0.1517	45	0.1303
PKUICSTRunA2      	0.2820	88	udelRun2A         	0.0000	15	0.2820
PKUICSTRunA2      	0.2820	88	udelRun1A         	0.0955	33	0.1865
PKUICSTRunA2      	0.2820	88	umd_hcil_run01    	0.0000	0	0.2820
PKUICSTRunA2      	0.2820	88	prnaTaskA3        	0.0000	9	0.2820
PKUICSTRunA2      	0.2820	88	prnaTaskA2        	0.0154	11	0.2666
PKUICSTRunA2      	0.2820	88	prnaTaskA1        	0.3458	76	-0.0638
PKUICSTRunA2      	0.2820	88	SNACSA            	0.0000	0	0.2820
PKUICSTRunA2      	0.2820	88	PKUICSTRunA3      	0.1426	56	0.1394
PKUICSTRunA2      	0.2820	88	SNACS_LA          	0.0000	0	0.2820
PKUICSTRunA2      	0.2820	88	UWaterlooATDK     	0.0735	30	0.2085
PKUICSTRunA2      	0.2820	88	QUDynExp          	0.1236	64	0.1584
PKUICSTRunA2      	0.2820	88	QUDyn             	0.1536	78	0.1284
PKUICSTRunA2      	0.2820	88	UWCMBP1           	0.1850	59	0.0970
PKUICSTRunA2      	0.2820	88	UWCMBP2           	0.0234	34	0.2586
PKUICSTRunA2      	0.2820	88	QUBaseline        	0.0928	51	0.1892
PKUICSTRunA2      	0.2820	88	umd_hcil_run02    	0.0000	9	0.2820
PKUICSTRunA2      	0.2820	88	udelRun3A         	0.1234	35	0.1586
PKUICSTRunA1      	0.0844	43	hpclab_pi_algA    	0.0000	26	0.0844
PKUICSTRunA1      	0.0844	43	UWaterlooATEK     	0.1115	36	-0.0271
PKUICSTRunA1      	0.0844	43	UWaterlooATNDEK   	0.1517	45	-0.0673
PKUICSTRunA1      	0.0844	43	udelRun2A         	0.0000	15	0.0844
PKUICSTRunA1      	0.0844	43	udelRun1A         	0.0955	33	-0.0111
PKUICSTRunA1      	0.0844	43	umd_hcil_run01    	0.0000	0	0.0844
PKUICSTRunA1      	0.0844	43	prnaTaskA3        	0.0000	9	0.0844
PKUICSTRunA1      	0.0844	43	prnaTaskA2        	0.0154	11	0.0690
PKUICSTRunA1      	0.0844	43	prnaTaskA1        	0.3458	76	-0.2614
PKUICSTRunA1      	0.0844	43	SNACSA            	0.0000	0	0.0844
PKUICSTRunA1      	0.0844	43	PKUICSTRunA3      	0.1426	56	-0.0582
PKUICSTRunA1      	0.0844	43	PKUICSTRunA2      	0.2820	88	-0.1976
PKUICSTRunA1      	0.0844	43	SNACS_LA          	0.0000	0	0.0844
PKUICSTRunA1      	0.0844	43	UWaterlooATDK     	0.0735	30	0.0109
PKUICSTRunA1      	0.0844	43	QUDynExp          	0.1236	64	-0.0392
PKUICSTRunA1      	0.0844	43	QUDyn             	0.1536	78	-0.0692
PKUICSTRunA1      	0.0844	43	UWCMBP1           	0.1850	59	-0.1006
PKUICSTRunA1      	0.0844	43	UWCMBP2           	0.0234	34	0.0610
PKUICSTRunA1      	0.0844	43	QUBaseline        	0.0928	51	-0.0084
PKUICSTRunA1      	0.0844	43	umd_hcil_run02    	0.0000	9	0.0844
PKUICSTRunA1      	0.0844	43	udelRun3A         	0.1234	35	-0.0390
MPII_COMB_SORT    	0.2181	93	hpclab_pi_algA    	0.0000	26	0.2181
MPII_COMB_SORT    	0.2181	93	UWaterlooATEK     	0.1115	36	0.1066
MPII_COMB_SORT    	0.2181	93	UWaterlooATNDEK   	0.1517	45	0.0664
MPII_COMB_SORT    	0.2181	93	udelRun2A         	0.0000	15	0.2181
MPII_COMB_SORT    	0.2181	93	udelRun1A         	0.0955	33	0.1226
MPII_COMB_SORT    	0.2181	93	MPII_HYBRID_PW    	0.0730	48	0.1451
MPII_COMB_SORT    	0.2181	93	umd_hcil_run01    	0.0000	0	0.2181
MPII_COMB_SORT    	0.2181	93	prnaTaskA3        	0.0000	9	0.2181
MPII_COMB_SORT    	0.2181	93	prnaTaskA2        	0.0154	11	0.2027
MPII_COMB_SORT    	0.2181	93	prnaTaskA1        	0.3458	76	-0.1277
MPII_COMB_SORT    	0.2181	93	SNACSA            	0.0000	0	0.2181
MPII_COMB_SORT    	0.2181	93	PKUICSTRunA3      	0.1426	56	0.0755
MPII_COMB_SORT    	0.2181	93	PKUICSTRunA2      	0.2820	88	-0.0639
MPII_COMB_SORT    	0.2181	93	PKUICSTRunA1      	0.0844	43	0.1337
MPII_COMB_SORT    	0.2181	93	SNACS_LA          	0.0000	0	0.2181
MPII_COMB_SORT    	0.2181	93	UWaterlooATDK     	0.0735	30	0.1446
MPII_COMB_SORT    	0.2181	93	QUDynExp          	0.1236	64	0.0945
MPII_COMB_SORT    	0.2181	93	QUDyn             	0.1536	78	0.0645
MPII_COMB_SORT    	0.2181	93	UWCMBP1           	0.1850	59	0.0331
MPII_COMB_SORT    	0.2181	93	UWCMBP2           	0.0234	34	0.1947
MPII_COMB_SORT    	0.2181	93	QUBaseline        	0.0928	51	0.1253
MPII_COMB_SORT    	0.2181	93	umd_hcil_run02    	0.0000	9	0.2181
MPII_COMB_SORT    	0.2181	93	MPII_LUC_SORT     	0.1667	90	0.0514
MPII_COMB_SORT    	0.2181	93	udelRun3A         	0.1234	35	0.0947
SNACS_LA          	0.0000	0	hpclab_pi_algA    	0.0000	26	0.0000
SNACS_LA          	0.0000	0	UWaterlooATEK     	0.1115	36	-0.1115
SNACS_LA          	0.0000	0	UWaterlooATNDEK   	0.1517	45	-0.1517
SNACS_LA          	0.0000	0	udelRun2A         	0.0000	15	0.0000
SNACS_LA          	0.0000	0	udelRun1A         	0.0955	33	-0.0955
SNACS_LA          	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
SNACS_LA          	0.0000	0	prnaTaskA3        	0.0000	9	0.0000
SNACS_LA          	0.0000	0	prnaTaskA2        	0.0154	11	-0.0154
SNACS_LA          	0.0000	0	prnaTaskA1        	0.3458	76	-0.3458
SNACS_LA          	0.0000	0	UWaterlooATDK     	0.0735	30	-0.0735
SNACS_LA          	0.0000	0	UWCMBP1           	0.1850	59	-0.1850
SNACS_LA          	0.0000	0	UWCMBP2           	0.0234	34	-0.0234
SNACS_LA          	0.0000	0	umd_hcil_run02    	0.0000	9	0.0000
SNACS_LA          	0.0000	0	udelRun3A         	0.1234	35	-0.1234
UWaterlooATDK     	0.0735	30	hpclab_pi_algA    	0.0000	26	0.0735
UWaterlooATDK     	0.0735	30	UWaterlooATEK     	0.1115	36	-0.0380
UWaterlooATDK     	0.0735	30	UWaterlooATNDEK   	0.1517	45	-0.0782
UWaterlooATDK     	0.0735	30	udelRun2A         	0.0000	15	0.0735
UWaterlooATDK     	0.0735	30	udelRun1A         	0.0955	33	-0.0220
UWaterlooATDK     	0.0735	30	umd_hcil_run01    	0.0000	0	0.0735
UWaterlooATDK     	0.0735	30	prnaTaskA3        	0.0000	9	0.0735
UWaterlooATDK     	0.0735	30	prnaTaskA2        	0.0154	11	0.0581
UWaterlooATDK     	0.0735	30	prnaTaskA1        	0.3458	76	-0.2723
UWaterlooATDK     	0.0735	30	umd_hcil_run02    	0.0000	9	0.0735
UWaterlooATDK     	0.0735	30	udelRun3A         	0.1234	35	-0.0499
QUDynExp          	0.1236	64	hpclab_pi_algA    	0.0000	26	0.1236
QUDynExp          	0.1236	64	UWaterlooATEK     	0.1115	36	0.0121
QUDynExp          	0.1236	64	UWaterlooATNDEK   	0.1517	45	-0.0281
QUDynExp          	0.1236	64	udelRun2A         	0.0000	15	0.1236
QUDynExp          	0.1236	64	udelRun1A         	0.0955	33	0.0281
QUDynExp          	0.1236	64	umd_hcil_run01    	0.0000	0	0.1236
QUDynExp          	0.1236	64	prnaTaskA3        	0.0000	9	0.1236
QUDynExp          	0.1236	64	prnaTaskA2        	0.0154	11	0.1082
QUDynExp          	0.1236	64	prnaTaskA1        	0.3458	76	-0.2222
QUDynExp          	0.1236	64	SNACSA            	0.0000	0	0.1236
QUDynExp          	0.1236	64	SNACS_LA          	0.0000	0	0.1236
QUDynExp          	0.1236	64	UWaterlooATDK     	0.0735	30	0.0501
QUDynExp          	0.1236	64	UWCMBP1           	0.1850	59	-0.0614
QUDynExp          	0.1236	64	UWCMBP2           	0.0234	34	0.1002
QUDynExp          	0.1236	64	umd_hcil_run02    	0.0000	9	0.1236
QUDynExp          	0.1236	64	udelRun3A         	0.1234	35	0.0002
IRIT-KLTFIDF      	0.0222	21	hpclab_pi_algA    	0.0000	26	0.0222
IRIT-KLTFIDF      	0.0222	21	UWaterlooATEK     	0.1115	36	-0.0893
IRIT-KLTFIDF      	0.0222	21	UWaterlooATNDEK   	0.1517	45	-0.1295
IRIT-KLTFIDF      	0.0222	21	udelRun2A         	0.0000	15	0.0222
IRIT-KLTFIDF      	0.0222	21	udelRun1A         	0.0955	33	-0.0733
IRIT-KLTFIDF      	0.0222	21	MPII_HYBRID_PW    	0.0730	48	-0.0508
IRIT-KLTFIDF      	0.0222	21	umd_hcil_run01    	0.0000	0	0.0222
IRIT-KLTFIDF      	0.0222	21	prnaTaskA3        	0.0000	9	0.0222
IRIT-KLTFIDF      	0.0222	21	prnaTaskA2        	0.0154	11	0.0068
IRIT-KLTFIDF      	0.0222	21	prnaTaskA1        	0.3458	76	-0.3236
IRIT-KLTFIDF      	0.0222	21	SNACSA            	0.0000	0	0.0222
IRIT-KLTFIDF      	0.0222	21	PKUICSTRunA3      	0.1426	56	-0.1204
IRIT-KLTFIDF      	0.0222	21	PKUICSTRunA2      	0.2820	88	-0.2598
IRIT-KLTFIDF      	0.0222	21	PKUICSTRunA1      	0.0844	43	-0.0622
IRIT-KLTFIDF      	0.0222	21	MPII_COMB_SORT    	0.2181	93	-0.1959
IRIT-KLTFIDF      	0.0222	21	SNACS_LA          	0.0000	0	0.0222
IRIT-KLTFIDF      	0.0222	21	UWaterlooATDK     	0.0735	30	-0.0513
IRIT-KLTFIDF      	0.0222	21	QUDynExp          	0.1236	64	-0.1014
IRIT-KLTFIDF      	0.0222	21	IritSigSDA        	0.0000	4	0.0222
IRIT-KLTFIDF      	0.0222	21	IRIT-RTNotif.33   	0.1748	75	-0.1526
IRIT-KLTFIDF      	0.0222	21	QUDyn             	0.1536	78	-0.1314
IRIT-KLTFIDF      	0.0222	21	UWCMBP1           	0.1850	59	-0.1628
IRIT-KLTFIDF      	0.0222	21	UWCMBP2           	0.0234	34	-0.0012
IRIT-KLTFIDF      	0.0222	21	QUBaseline        	0.0928	51	-0.0706
IRIT-KLTFIDF      	0.0222	21	umd_hcil_run02    	0.0000	9	0.0222
IRIT-KLTFIDF      	0.0222	21	MPII_LUC_SORT     	0.1667	90	-0.1445
IRIT-KLTFIDF      	0.0222	21	udelRun3A         	0.1234	35	-0.1012
IritSigSDA        	0.0000	4	hpclab_pi_algA    	0.0000	26	0.0000
IritSigSDA        	0.0000	4	UWaterlooATEK     	0.1115	36	-0.1115
IritSigSDA        	0.0000	4	UWaterlooATNDEK   	0.1517	45	-0.1517
IritSigSDA        	0.0000	4	udelRun2A         	0.0000	15	0.0000
IritSigSDA        	0.0000	4	udelRun1A         	0.0955	33	-0.0955
IritSigSDA        	0.0000	4	MPII_HYBRID_PW    	0.0730	48	-0.0730
IritSigSDA        	0.0000	4	umd_hcil_run01    	0.0000	0	0.0000
IritSigSDA        	0.0000	4	prnaTaskA3        	0.0000	9	0.0000
IritSigSDA        	0.0000	4	prnaTaskA2        	0.0154	11	-0.0154
IritSigSDA        	0.0000	4	prnaTaskA1        	0.3458	76	-0.3458
IritSigSDA        	0.0000	4	SNACSA            	0.0000	0	0.0000
IritSigSDA        	0.0000	4	PKUICSTRunA3      	0.1426	56	-0.1426
IritSigSDA        	0.0000	4	PKUICSTRunA2      	0.2820	88	-0.2820
IritSigSDA        	0.0000	4	PKUICSTRunA1      	0.0844	43	-0.0844
